s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
Western Australia,WA,WA,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,343598,69090811.25,199665,143933,51449603.95,17641207.3,0.581100588,116.1926349,79203545.3,84016953.03,51449603.95,32567349.08
Tasmania,TAS,Tas,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,59506,17731054.93,33335,26171,14356452,3374602.93,0.560195611,95.73569295,20402350.9,20006198.18,14356452,5649746.18
Northern Territory,NT,NT,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,22318,7382269,18141,4177,6549803,832466,0.812841652,205.8941289,8163964.45,8160327.58,6549803,1610524.58
Australian Capital Territory,ACT,ACT,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,48015,8136394.69,26366,21649,5113516.4,3022878.29,0.549120067,151.7154191,9066835.05,11237297.74,5113516.4,6123781.34
Unknown,UNK,Unk,1/3/2025,2024-25 Q3 (Mar Qtr),Other MBS Services,725,188911.65,667,58,183167.55,5744.1,0.92,85.06428571,222766.6,193318.6,183167.55,10151.05
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,116211566,8077954366,87298273,28913293,5186429422,2891524944,0.751201244,76.17595841,8666901455,10788261140,5182973471,5605287669
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,38554063,2693898889,29617830,8936233,1778214061,915684828.1,0.768215532,81.77442649,2890186189,3574199664,1777218305,1796981359
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,30288612,2090193317,22818944,7469668,1342869284,747324032.7,0.753383615,75.90739887,2238938717,2775389469,1341860602,1433528867
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,23954316,1672524222,17884056,6070260,1071160714,601363507.9,0.746590134,73.60906173,1789014488,2239687406,1070401810,1169285596
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,7838687,542292882.7,5744139,2094548,338687593.7,203605289,0.732793515,68.13681282,590279664.7,718473963.4,338379029.1,380094934.3
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,10983983,766739301.3,7910293,3073690,472048831.9,294690469.4,0.720166173,72.35382954,827939553.5,1041616686,471788346.6,569828339.6
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,2218258,150989952.5,1630388,587870,91862516.25,59127436.23,0.734985741,69.63457761,163386055.4,204934178.9,91808105.05,113126073.8
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,703441,46274919.45,583802,119639,35502267.3,10772652.15,0.829923192,73.03251078,50026529.95,58355841.41,35483045.1,22872796.31
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,1654038,114027753.9,1093197,560841,55122104.15,58905649.74,0.66092617,80.99293313,116048404,174539314.8,55072293.8,119467021
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Total Medicare,16168,1013128.35,15624,544,962049.65,51078.7,0.96635329,73.01472678,1081853.35,1064615.62,961934.2,102681.42
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,40206210,2361184058,31106164,9100046,1843175182,518008875.3,0.77366566,45.97233354,2313561338,2778860736,1843175182,935685553.8
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,13043229,763913851.9,10684216,2359013,627285059.7,136628792.2,0.81913888,44.85530817,749607095,869452884.7,627285059.7,242167825
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,10921041,633107002.8,8531380,2389661,495882933.5,137224069.4,0.781187434,45.68096093,620118502.7,742090415.9,495882933.5,246207482.4
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,8163453,485802405.1,6166014,1997439,371845183.6,113957221.6,0.755319348,46.9256207,475141929.9,579410977.8,371845183.6,207565794.3
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,2678885,157047111.3,1999329,679556,119765036.5,37282074.77,0.74632879,42.7080935,154915946.9,186055426.1,119765036.5,66290389.6
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,3805285,222659035.5,2667113,1138172,161550668.2,61108367.3,0.700897042,46.34601194,218828170.3,275360488.5,161550668.2,113809820.3
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,793326,48330537.7,571396,221930,35357977,12972560.7,0.720253717,54.20578134,47180681.73,60342706.55,35357977,24984729.55
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,255814,16805642.47,195449,60365,13596859,3208783.47,0.76402777,47.44033487,16672184,19669499.11,13596859,6072640.11
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,536774,32988923,283028,253746,17371069.55,15617853.45,0.527275911,51.04282092,30567969.75,45941427.98,17371069.55,28570358.43
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Total GP Non-Referred Attendances,8403,529548,8239,164,520395.55,9152.45,0.980483161,44.88841463,528858.15,536909.7,520395.55,16514.15
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,654433,11241151.9,637874,16559,9969290.55,1271861.35,0.974697181,15.80541881,10511051.65,11502873.83,9969290.55,1533583.28
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,191262,3072048.1,187668,3594,2842857.9,229190.2,0.981209022,16.83764608,2952995.35,3132562.6,2842857.9,289704.7
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,129962,2119989.3,125694,4268,1767810.55,352178.75,0.967159631,16.70885661,1914164.85,2191302.7,1767810.55,423492.15
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,160874,3054433.9,154802,6072,2516114.6,538319.3,0.962256176,15.87028162,2726640,3150798.25,2516114.6,634683.65
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,54069,790027.65,53407,662,777254.95,12772.7,0.987756385,3.430740181,792535.85,792298.8,777254.95,15043.85
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,69726,1214730.2,68520,1206,1134732.85,79997.35,0.982703726,16.48501658,1169612.6,1234611.13,1134732.85,99878.28
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,17379,295118.1,16700,679,239356,55762.1,0.960929858,15.55706922,262037.4,305681.35,239356,66325.35
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,27224,634087.45,27218,6,633818,269.45,0.999779606,22.84166667,634073,634224.5,633818,406.5
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,3696,55754.6,3630,66,52957.95,2796.65,0.982142857,8.837878788,54401.65,56337.9,52957.95,3379.95
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Practice Nurse,241,4962.6,235,6,4387.75,574.85,0.975103734,15.66666667,4590.95,5056.6,4387.75,668.85
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,3906787,357381068.1,1690616,2216171,120708974,236672094.2,0.432738207,62.162056,373457239.2,495142813.9,120708974,374433840
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,1232313,112297951.1,551829,680484,39704012.4,72593938.69,0.447799382,61.59422754,117053868.9,154211837.4,39704012.4,114507825
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,1162158,105802599.2,478029,684129,33808890.3,71993708.91,0.411328752,61.57218609,110293624.2,147925917.3,33808890.3,114117027
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,762220,69377477.95,353037,409183,25324045.65,44053432.3,0.463169426,63.21124482,72773398.95,95242444.74,25324045.65,69918399.09
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,286659,24668516.68,149788,136871,10257513.5,14411003.18,0.522530254,58.22949325,26787945.5,32638445.65,10257513.5,22380932.15
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,338535,32234484.64,128704,209831,9121911.45,23112573.19,0.380179302,65.49821947,33542275,45978041.53,9121911.45,36856130.08
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,66781,6462040.88,15714,51067,1383297.9,5078742.98,0.235306449,51.29033897,6837354.3,9081284.62,1383297.9,7697986.72
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,12951,1124120.23,6275,6676,485449.85,638670.38,0.48451857,73.64503745,1231258.75,1615774.5,485449.85,1130324.65
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,44676,5381963.24,6800,37876,596250.75,4785712.49,0.152207002,80.07956965,4900657.75,8415057.02,596250.75,7818806.27
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Other Allied Health,494,31914.2,440,54,27602.15,4312.05,0.890688259,38.83222222,36855.9,34011.14,27602.15,6408.99
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,8974868,886628859.1,2556987,6417881,227963515.2,658665343.9,0.284905249,110.7889343,923741491,1503580986,227963515.2,1275617471
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,3069536,312866891.4,964917,2104619,88297261.25,224569630.2,0.314352723,117.0213049,320949800.6,529018730.4,88297261.25,440721469.2
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,2567045,253576445.3,754543,1812502,69187448.6,184388996.7,0.293934466,104.8188917,269096103.1,417397303.7,69187448.6,348209855.1
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,1695967,166639329.4,428998,1266969,36282953.9,130356375.5,0.252951856,110.7768749,171714350.8,288198811.5,36282953.9,251915857.6
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,619058,56262408.08,182569,436489,15233386.55,41029021.53,0.294914208,92.24127249,60796532.5,93051075.86,15233386.55,77817689.31
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,728177,67739264.93,149438,578739,11939405.1,55799859.83,0.205222082,118.7330606,71390365.9,125026828.7,11939405.1,113087423.6
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,143816,12871164.65,36228,107588,3218131,9653033.65,0.251905212,93.8645871,13886077.65,21460986.56,3218131,18242855.56
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,28358,2614592.65,9501,18857,924090.15,1690502.5,0.335037732,123.5377851,2947871.6,4646293.45,924090.15,3722203.3
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,122659,14030795.85,30667,91992,2865972,11164823.85,0.250018344,125.6199456,12930383.1,24740985.59,2865972,21875013.59
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Specialist Attendances,252,27966.85,126,126,14866.6,13100.25,0.5,109.1647368,30005.8,39969.87,14866.6,25103.27
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,373451,44137449.45,191537,181914,10520972.05,33616477.4,0.512883886,285.2636542,48105938.65,109701194.2,10520972.05,99180222.12
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,124361,15481051.3,61856,62505,3531833.35,11949217.95,0.497390661,315.7236348,16797833.55,39668611.85,3531833.35,36136778.5
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,105493,11864612.05,74462,31031,3869997.15,7994614.9,0.705847781,543.1252202,13228071.75,30887317.03,3869997.15,27017319.88
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,68130,7876900.25,25928,42202,1436812.75,6440087.5,0.380566564,167.3223826,8481788.5,17985313.86,1436812.75,16548501.11
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,21876,2684327.2,8609,13267,537670.75,2146656.45,0.393536295,198.6574162,2927689.7,6295578.15,537670.75,5757907.4
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,41328,4837991.15,15800,25528,905947.5,3932043.65,0.382307395,171.9746905,5194462.75,11284680.29,905947.5,10378732.79
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,5276,680978.75,2136,3140,109158.95,571819.8,0.404852161,234.7942447,736637.25,1661842.09,109158.95,1552683.14
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,2564,207059.8,1553,1011,59319.4,147740.4,0.605694228,202.7485849,215267.6,425910.8,59319.4,366591.4
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,4417,504181.8,1187,3230,69885.05,434296.75,0.268734435,256.7922659,523779.2,1491592.95,69885.05,1421707.9
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Obstetrics,6,347.15,6,0,347.15,0,1,-,408.35,347.15,347.15,0
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,1090664,167829438.9,94919,995745,10761924.7,157067514.2,0.087028636,228.0398418,214887173.2,436609932.5,10761924.7,425848007.8
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,341535,53536409.56,35127,306408,3822648.05,49713761.51,0.102850367,183.7064196,69668404.25,142447341.6,3822648.05,138624693.5
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,280277,43222492.83,23579,256698,2511987.75,40710505.08,0.084127488,239.0094072,53563710.8,111614777.9,2511987.75,109102790.1
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,227712,34777145.89,24619,203093,2945773.05,31831372.84,0.108114636,220.1815465,44865423.8,90567644.82,2945773.05,87621871.77
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,82475,12039685.62,5510,76965,735978.75,11303706.87,0.066808124,186.3892741,15823217.4,29389831.5,735978.75,28653852.75
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,118106,18127985.59,4942,113164,613874.25,17514111.34,0.041843767,422.269204,22990327.85,44728070.49,613874.25,44114196.24
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,21108,3196013.37,286,20822,34389.5,3161623.87,0.013549365,85.0568785,4194843,8826197.77,34389.5,8791808.27
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,4406,694610.4,194,4212,27417.3,667193.1,0.044030867,224.4985714,908038.15,1986265.53,27417.3,1958848.23
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,15023,2229323.15,661,14362,69672.15,2159651,0.043999201,189.0713985,2868812.9,7037907.84,69672.15,6968235.69
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Anaesthetics,22,5772.5,1,21,183.9,5588.6,0.045454545,1111.1,4395.05,11895.05,183.9,11711.15
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,43254225,992115757.8,38812951,4441274,891138775,100976982.8,0.897321614,23.78609735,1174932100,1055871544,887682823.5,168188720
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,14626414,339687391.5,12954516,1671898,303638906.3,36048485.21,0.88569324,25.45015048,402523418,360724591.8,302643150.4,58081441.46
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,10782577,241605320.6,9781957,1000620,218201092.7,23404227.91,0.907200292,23.54167958,285684825.6,257637586.9,217192410.6,40445176.3
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,9038527,212461468.2,8132547,905980,191369218.6,21092249.56,0.899764641,21.19693959,251682981.9,225783895.9,190610314.3,35173581.58
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,2893137,63385887.12,2558162,334975,55733678.5,7652208.62,0.884217374,25.28688541,75184157.1,67985254.83,55425113.9,12560140.93
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,4083146,93772209.06,3676819,406327,84373355.55,9398853.51,0.900486782,23.67400483,111188315.1,100236194.3,84112870.25,16123324.04
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,855395,18756385.5,794795,60600,17167882.9,1588502.6,0.929155536,30.66342899,22180177.3,19821416.28,17113471.7,2707944.58
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,276202,6496899.2,267250,8952,6203887.4,293011.8,0.967588939,24.11060086,7653517.75,6701051.77,6184665.2,516386.57
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,693500,15843590.1,641644,51856,14345350.65,1498239.45,0.925225667,17.74394079,18709439.09,16874219.88,14295540.3,2578679.58
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Total Pathology,5327,106606.55,5261,66,105402.45,1204.1,0.987610287,-,125268.6,107331.98,105287,2044.98
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,7908581,1359828162,6041594,1866987,1050922312,308905849.7,0.763928953,123.3927727,1454350517,1574907838,1050922312,523985526.5
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,2722494,474727349.9,2101755,620739,368671399.8,106055950.1,0.771996192,117.8842809,509396541.7,539732843.3,368671399.8,171061443.5
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,2013980,335970271.5,1576709,437271,265755707.2,70214564.37,0.782882154,127.7760639,358179105.3,388716414.6,265755707.2,122960707.4
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,1612197,281267616.7,1211741,400456,215478881.7,65788734.98,0.751608519,121.4690496,299533704.6,328957319.5,215478881.7,113478437.8
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,514642,89978599.77,378195,136447,66590144.95,23388454.82,0.734870065,139.8612347,96865683.53,107278567.5,66590144.95,40688422.53
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,793651,135115425.2,611646,182005,106741996,28373429.15,0.77067376,114.0071435,144846716,155792582.9,106741996,49050586.9
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,121806,19747948.34,82244,39562,13460808.55,6287139.79,0.675204834,131.8868561,21312335.23,24577568.08,13460808.55,11116759.53
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,38536,5880207.75,32872,5664,5046343.55,833864.2,0.853020552,146.2198512,6233719.75,6656194.98,5046343.55,1609851.43
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,90786,17062191.49,45972,44814,9102483.8,7959707.69,0.506377635,138.0250928,17899147.26,23114388.55,9102483.8,14011904.75
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,489,78551,460,29,74546.35,4004.65,0.940695297,129.6866667,83563.85,81959,74546.35,7412.65
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,3147794,693859604.3,1046363,2101431,122631276.4,571228327.9,0.332411524,100.4632505,848357105.8,1453142911,122631276.4,1330511635
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,1028008,232238470.4,377612,650396,46918460.8,185320009.6,0.36732399,106.7213919,279440095.7,496589772.9,46918460.8,449671312.1
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,664605,157742392.6,169530,495075,22031424.3,135710968.3,0.255083847,107.5070407,195750785,329161091.7,22031424.3,307129667.4
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,796189,154334658.6,325615,470574,34414103.5,119920555.1,0.408966966,94.51771346,185968028.9,318997356.9,34414103.5,284583253.4
South Australia,SA,SA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,209309,49434743.17,61590,147719,7462846.6,41971896.57,0.29425395,82.50131154,62582946.3,97642961.85,7462846.6,90180115.25
Western Australia,WA,WA,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,333648,72533631.63,88262,245386,9062001.65,63471629.98,0.264536278,89.9704425,90950515.37,146756573.4,9062001.65,137694571.8
Tasmania,TAS,Tas,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,62010,14564187.5,12076,49934,1321654,13242533.5,0.194742783,71.68979948,18454596.8,30243421.13,1321654,28921767.13
Northern Territory,NT,NT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,14789,2910464.25,5559,9230,589215.35,2321248.9,0.375887484,100.878251,3661900.7,6363881.44,589215.35,5774666.09
Australian Capital Territory,ACT,ACT,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,39157,10088200.05,6071,33086,826939.5,9261260.55,0.155042521,142.5658104,11532124.67,27358990.57,826939.5,26532051.07
Unknown,UNK,Unk,1/12/2024,2024-25 Q2 (Dec Qtr),Total Operations,79,12856.05,48,31,4630.65,8225.4,0.607594937,144.0454545,16112.35,28861.48,4630.65,24230.83
Australia,AU,Australia,1/12/2024,2024-25 Q2 (Dec Qtr),Optometry,3039571,164401183.5,2864484,175087,154301574.4,10099609.17,0.942397463,36.34750176,192318198.9,170765158.6,154301574.4,16463584.21
New South Wales,NSW,NSW,1/12/2024,2024-25 Q2 (Dec Qtr),Optometry,990305,53303418,946959,43346,50799433.6,2503984.4,0.956229646,33.61118419,62444601.6,54760328.39,50799433.6,3960894.79
Victoria,VIC,Vic,1/12/2024,2024-25 Q2 (Dec Qtr),Optometry,773215,41847961.9,722797,50418,38904693.25,2943268.65,0.934794333,35.89951505,48933114.4,43657943.65,38904693.25,4753250.4
Queensland,QLD,Qld,1/12/2024,2024-25 Q2 (Dec Qtr),Optometry,646086,34936320.88,603019,43067,32474672.4,2461648.48,0.933341691,36.00286948,40792170.15,36486856.46,32474672.4,4012184.06
